,KO,name,gene_name
36,K00038,E1.1.1.53; 3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53],E1.1.1.53
37,K00039,rbtD; ribitol 2-dehydrogenase [EC:1.1.1.56],rbtD
38,K00040,uxuB; fructuronate reductase [EC:1.1.1.57],uxuB
39,K00041,uxaB; tagaturonate reductase [EC:1.1.1.58],uxaB
40,K00042,"garR, glxR; 2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]","garR, glxR"
41,K00043,gbd; 4-hydroxybutyrate dehydrogenase [EC:1.1.1.61],gbd
42,K00044,HSD17B1; 17beta-estradiol 17-dehydrogenase [EC:1.1.1.62],HSD17B1
43,K00045,"E1.1.1.67, mtlK; mannitol 2-dehydrogenase [EC:1.1.1.67]","E1.1.1.67, mtlK"
44,K00046,idnO; gluconate 5-dehydrogenase [EC:1.1.1.69],idnO
45,K00048,fucO; lactaldehyde reductase [EC:1.1.1.77],fucO
46,K00049,GRHPR; glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81],GRHPR
47,K00051,E1.1.1.82; malate dehydrogenase (NADP+) [EC:1.1.1.82],E1.1.1.82
48,K00052,"leuB, IMDH; 3-isopropylmalate dehydrogenase [EC:1.1.1.85]","leuB, IMDH"
49,K00053,ilvC; ketol-acid reductoisomerase [EC:1.1.1.86],ilvC
50,K00054,mvaA; hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88],mvaA
51,K00055,E1.1.1.90; aryl-alcohol dehydrogenase [EC:1.1.1.90],E1.1.1.90
52,K00057,gpsA; glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94],gpsA
53,K00058,"serA, PHGDH; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]","serA, PHGDH"
54,K00059,"fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]","fabG, OAR1"
55,K00060,tdh; threonine 3-dehydrogenase [EC:1.1.1.103],tdh
56,K00061,RDH5; 11-cis-retinol dehydrogenase [EC:1.1.1.315],RDH5
57,K00062,ARA2; D-arabinose 1-dehydrogenase [EC:1.1.1.116],ARA2
58,K00063,ARA1; D-arabinose 1-dehydrogenase [EC:1.1.1.117],ARA1
59,K00064,E1.1.1.122; D-threo-aldose 1-dehydrogenase [EC:1.1.1.122],E1.1.1.122
60,K00065,kduD; 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127],kduD
61,K00066,algD; GDP-mannose 6-dehydrogenase [EC:1.1.1.132],algD
62,K00067,"rfbD, rmlD; dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]","rfbD, rmlD"
63,K00068,srlD; sorbitol-6-phosphate 2-dehydrogenase [EC:1.1.1.140],srlD
64,K00069,HPGD; 15-hydroxyprostaglandin dehydrogenase (NAD) [EC:1.1.1.141],HPGD
65,K00070,HSD3B; 3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase [EC:1.1.1.145 5.3.3.1],HSD3B
66,K00071,HSD11B2; corticosteroid 11-beta-dehydrogenase isozyme 2 [EC:1.1.1.-],HSD11B2
67,K00072,SPR; sepiapterin reductase [EC:1.1.1.153],SPR
68,K00073,allD; ureidoglycolate dehydrogenase (NAD+) [EC:1.1.1.350],allD
69,K00074,"paaH, hbd, fadB, mmgB; 3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]","paaH, hbd, fadB, mmgB"
70,K00075,murB; UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98],murB
71,K00076,hdhA; 7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159],hdhA
72,K00077,"panE, apbA; 2-dehydropantoate 2-reductase [EC:1.1.1.169]","panE, apbA"
73,K00078,DHDH; dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) [EC:1.3.1.20 1.1.1.179],DHDH
74,K00079,CBR1; carbonyl reductase 1 [EC:1.1.1.184 1.1.1.189 1.1.1.197],CBR1
75,K00081,CBR2; carbonyl reductase 2 [EC:1.1.1.184],CBR2
76,K00082,ribD2; 5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:1.1.1.193],ribD2
77,K00083,CAD; cinnamyl-alcohol dehydrogenase [EC:1.1.1.195],CAD
78,K00084,CBR3; carbonyl reductase 3 [EC:1.1.1.184],CBR3
79,K00085,E1.1.1.200; aldose-6-phosphate reductase (NADPH2) [EC:1.1.1.200],E1.1.1.200
80,K00086,"dhaT; 1,3-propanediol dehydrogenase [EC:1.1.1.202]",dhaT
81,K00087,"ygeS, xdhA; xanthine dehydrogenase molybdenum-binding subunit [EC:1.17.1.4]","ygeS, xdhA"
82,K00088,"IMPDH, guaB; IMP dehydrogenase [EC:1.1.1.205]","IMPDH, guaB"
83,K00089,AKR1C2; 3alpha-hydroxysteroid 3-dehydrogenase [EC:1.1.1.213 1.1.1.357],AKR1C2
84,K00090,ghrB; glyoxylate/hydroxypyruvate/2-ketogluconate reductase [EC:1.1.1.79 1.1.1.81 1.1.1.215],ghrB
85,K00091,E1.1.1.219; dihydroflavonol-4-reductase [EC:1.1.1.219],E1.1.1.219
86,K00093,mdh; methanol dehydrogenase [EC:1.1.1.244],mdh
87,K00094,"E1.1.1.251, gatD; galactitol-1-phosphate 5-dehydrogenase [EC:1.1.1.251]","E1.1.1.251, gatD"
88,K00095,MTD; mannitol dehydrogenase [EC:1.1.1.255],MTD
89,K00096,"araM, egsA; glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261]","araM, egsA"
90,K00097,pdxA; 4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262],pdxA
91,K00098,idnD; L-idonate 5-dehydrogenase [EC:1.1.1.264],idnD
92,K00099,dxr; 1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267],dxr
93,K00100,bdhAB; butanol dehydrogenase [EC:1.1.1.-],bdhAB
94,K00101,lldD; L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3],lldD
95,K00102,"LDHD, dld; D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4]","LDHD, dld"
96,K00103,GULO; L-gulonolactone oxidase [EC:1.1.3.8],GULO
97,K00104,glcD; glycolate dehydrogenase FAD-linked subunit [EC:1.1.99.14],glcD
98,K00105,E1.1.3.21; alpha-glycerophosphate oxidase [EC:1.1.3.21],E1.1.3.21
99,K00106,XDH; xanthine dehydrogenase/oxidase [EC:1.17.1.4 1.17.3.2],XDH
100,K00107,"ALO; D-arabinono-1,4-lactone oxidase [EC:1.1.3.37]",ALO
101,K00108,"betA, CHDH; choline dehydrogenase [EC:1.1.99.1]","betA, CHDH"
102,K00109,L2HGDH; 2-hydroxyglutarate dehydrogenase [EC:1.1.99.2],L2HGDH
103,K00111,"glpA, glpD; glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]","glpA, glpD"
104,K00112,glpB; glycerol-3-phosphate dehydrogenase subunit B [EC:1.1.5.3],glpB
105,K00113,glpC; glycerol-3-phosphate dehydrogenase subunit C,glpC
106,K00114,exaA; alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8],exaA
107,K00115,"GLD; glucose 1-dehydrogenase (FAD, quinone) [EC:1.1.5.9]",GLD
108,K00116,mqo; malate dehydrogenase (quinone) [EC:1.1.5.4],mqo
109,K00117,gcd; quinoprotein glucose dehydrogenase [EC:1.1.5.2],gcd
110,K00118,gfo; glucose-fructose oxidoreductase [EC:1.1.99.28],gfo
111,K00119,E1.1.99.36; alcohol dehydrogenase (nicotinoprotein) [EC:1.1.99.36],E1.1.99.36
112,K00120,fgd2; F420-dependent hydroxymycolic acid dehydrogenase [EC:1.1.98.-],fgd2
113,K00121,"frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]","frmA, ADH5, adhC"
114,K00122,FDH; formate dehydrogenase [EC:1.17.1.9],FDH
115,K00123,"fdoG, fdhF, fdwA; formate dehydrogenase major subunit [EC:1.17.1.9]","fdoG, fdhF, fdwA"
116,K00124,"fdoH, fdsB; formate dehydrogenase iron-sulfur subunit","fdoH, fdsB"
117,K00125,fdhB; formate dehydrogenase (coenzyme F420) beta subunit [EC:1.17.98.3 1.8.98.6],fdhB
118,K00126,fdsD; formate dehydrogenase subunit delta [EC:1.17.1.9],fdsD
119,K00127,"fdoI, fdsG; formate dehydrogenase subunit gamma","fdoI, fdsG"
120,K00128,ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3],ALDH
121,K00129,ALDH3; aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5],ALDH3
122,K00130,"betB, gbsA; betaine-aldehyde dehydrogenase [EC:1.2.1.8]","betB, gbsA"
123,K00131,gapN; glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9],gapN
124,K00132,E1.2.1.10; acetaldehyde dehydrogenase (acetylating) [EC:1.2.1.10],E1.2.1.10
125,K00133,asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11],asd
126,K00134,"GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]","GAPDH, gapA"
127,K00135,gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20],gabD
128,K00137,prr; aminobutyraldehyde dehydrogenase [EC:1.2.1.19],prr
129,K00138,aldB; aldehyde dehydrogenase [EC:1.2.1.-],aldB
130,K00139,ALDH5A1; succinate-semialdehyde dehydrogenase [EC:1.2.1.24],ALDH5A1
131,K00140,"mmsA, iolA, ALDH6A1; malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]","mmsA, iolA, ALDH6A1"
132,K00141,xylC; benzaldehyde dehydrogenase (NAD) [EC:1.2.1.28],xylC
133,K00142,AASDH; acyl-CoA synthetase [EC:6.2.1.-],AASDH
134,K00143,LYS2; L-2-aminoadipate reductase [EC:1.2.1.95],LYS2
135,K00145,argC; N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38],argC
136,K00146,"feaB, tynC; phenylacetaldehyde dehydrogenase [EC:1.2.1.39]","feaB, tynC"
137,K00147,proA; glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41],proA
138,K00148,fdhA; glutathione-independent formaldehyde dehydrogenase [EC:1.2.1.46],fdhA
139,K00149,ALDH9A1; aldehyde dehydrogenase family 9 member A1 [EC:1.2.1.47 1.2.1.3],ALDH9A1
140,K00150,"gap2, gapB; glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating) [EC:1.2.1.59]","gap2, gapB"
141,K00151,"hpaE, hpcC; 5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:1.2.1.60]","hpaE, hpcC"
142,K00152,nahF; salicylaldehyde dehydrogenase [EC:1.2.1.65],nahF
143,K00153,E1.1.1.306; S-(hydroxymethyl)mycothiol dehydrogenase [EC:1.1.1.306],E1.1.1.306
144,K00154,E1.2.1.68; coniferyl-aldehyde dehydrogenase [EC:1.2.1.68],E1.2.1.68
145,K00155,"LNAA, LNBA; L-tyrosine reductase [EC:1.2.1.101]","LNAA, LNBA"
146,K00156,poxB; pyruvate dehydrogenase (quinone) [EC:1.2.5.1],poxB
147,K00157,AOX; aldehyde oxidase [EC:1.2.3.1],AOX
148,K00158,"E1.2.3.3, poxL; pyruvate oxidase [EC:1.2.3.3]","E1.2.3.3, poxL"
149,K00161,"PDHA, pdhA; pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]","PDHA, pdhA"
150,K00162,"PDHB, pdhB; pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]","PDHB, pdhB"
151,K00163,aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1],aceE
152,K00164,"OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]","OGDH, sucA"
153,K00166,"BCKDHA, bkdA1; 2-oxoisovalerate dehydrogenase E1 component alpha subunit [EC:1.2.4.4]","BCKDHA, bkdA1"
154,K00167,"BCKDHB, bkdA2; 2-oxoisovalerate dehydrogenase E1 component beta subunit [EC:1.2.4.4]","BCKDHB, bkdA2"
155,K00169,porA; pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1],porA
156,K00170,porB; pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1],porB
157,K00171,porD; pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1],porD
158,K00172,"porC, porG; pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]","porC, porG"
159,K00174,"korA, oorA, oforA; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]","korA, oorA, oforA"
160,K00175,"korB, oorB, oforB; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]","korB, oorB, oforB"
161,K00176,"korD, oorD; 2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3]","korD, oorD"
162,K00177,"korC, oorC; 2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3]","korC, oorC"
163,K00179,"iorA; indolepyruvate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.8]",iorA
164,K00180,"iorB; indolepyruvate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.8]",iorB
165,K00181,PORCN; O-palmitoleoyl transferase [EC:2.3.1.250],PORCN
166,K00182,"WNT2; wingless-type MMTV integration site family, member 2",WNT2
167,K00184,dmsB; dimethyl sulfoxide reductase iron-sulfur subunit,dmsB
168,K00185,dmsC; dimethyl sulfoxide reductase membrane subunit,dmsC
169,K00186,vorA; 2-oxoisovalerate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.7],vorA
170,K00187,vorB; 2-oxoisovalerate ferredoxin oxidoreductase beta subunit [EC:1.2.7.7],vorB
171,K00188,vorD; 2-oxoisovalerate ferredoxin oxidoreductase delta subunit [EC:1.2.7.7],vorD
172,K00189,"vorG, porG; 2-oxoisovalerate/pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.7 1.2.7.1]","vorG, porG"
173,K00192,"cdhA; anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit alpha [EC:1.2.7.4]",cdhA
174,K00193,"cdhC; acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit beta [EC:2.3.1.169]",cdhC
175,K00194,"cdhD, acsD; acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit delta [EC:2.1.1.245]","cdhD, acsD"
176,K00195,"cdhB; anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit epsilon",cdhB
177,K00196,cooF; anaerobic carbon-monoxide dehydrogenase iron sulfur subunit,cooF
178,K00197,"cdhE, acsC; acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit gamma [EC:2.1.1.245]","cdhE, acsC"
179,K00198,"cooS, acsA; anaerobic carbon-monoxide dehydrogenase catalytic subunit [EC:1.2.7.4]","cooS, acsA"
180,K00200,"fwdA, fmdA; formylmethanofuran dehydrogenase subunit A [EC:1.2.7.12]","fwdA, fmdA"
181,K00201,"fwdB, fmdB; formylmethanofuran dehydrogenase subunit B [EC:1.2.7.12]","fwdB, fmdB"
182,K00202,"fwdC, fmdC; formylmethanofuran dehydrogenase subunit C [EC:1.2.7.12]","fwdC, fmdC"
183,K00203,"fwdD, fmdD; formylmethanofuran dehydrogenase subunit D [EC:1.2.7.12]","fwdD, fmdD"
184,K00204,fwdH; 4Fe-4S ferredoxin,fwdH
185,K00205,"fwdF, fmdF; 4Fe-4S ferredoxin","fwdF, fmdF"
186,K00206,phnY; phosphonoacetaldehyde dehydrogenase [EC:1.2.1.-],phnY
187,K00207,DPYD; dihydropyrimidine dehydrogenase (NADP+) [EC:1.3.1.2],DPYD
188,K00208,fabI; enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10],fabI
189,K00209,"fabV, ter; enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+) [EC:1.3.1.9 1.3.1.44]","fabV, ter"
190,K00211,TYR1; prephenate dehydrogenase (NADP+) [EC:1.3.1.13],TYR1
191,K00212,AKR1C1; 20alpha/3alpha-hydroxysteroid dehydrogenase / dihydrodiol dehydrogenase [EC:1.1.1.149 1.1.1.357 1.3.1.20],AKR1C1
192,K00213,DHCR7; 7-dehydrocholesterol reductase [EC:1.3.1.21],DHCR7
193,K00214,"BLVRA, bvdR; biliverdin reductase [EC:1.3.1.24]","BLVRA, bvdR"
194,K00215,dapB; 4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8],dapB
195,K00216,"entA; 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC:1.3.1.28]",entA
196,K00217,E1.3.1.32; maleylacetate reductase [EC:1.3.1.32],E1.3.1.32
197,K00218,por; protochlorophyllide reductase [EC:1.3.1.33],por
198,K00219,"fadH; 2,4-dienoyl-CoA reductase (NADPH2) [EC:1.3.1.34]",fadH
199,K00220,tyrC; cyclohexadieny/prephenate dehydrogenase [EC:1.3.1.43 1.3.1.12],tyrC
200,K00221,E4.99.1.2; alkylmercury lyase [EC:4.99.1.2],E4.99.1.2
201,K00222,"TM7SF2, ERG24; Delta14-sterol reductase [EC:1.3.1.70]","TM7SF2, ERG24"
202,K00223,ERG4; Delta24(24(1))-sterol reductase [EC:1.3.1.71],ERG4
203,K00224,CEQORH; chloroplastic oxoene reductase [EC:1.3.1.-],CEQORH
204,K00225,"GLDH; L-galactono-1,4-lactone dehydrogenase [EC:1.3.2.3]",GLDH
205,K00226,pyrD; dihydroorotate dehydrogenase (fumarate) [EC:1.3.98.1],pyrD
206,K00227,"SC5DL, ERG3; Delta7-sterol 5-desaturase [EC:1.14.19.20]","SC5DL, ERG3"
207,K00228,"CPOX, hemF; coproporphyrinogen III oxidase [EC:1.3.3.3]","CPOX, hemF"
208,K00230,hemG; menaquinone-dependent protoporphyrinogen oxidase [EC:1.3.5.3],hemG
209,K00231,"PPOX, hemY; protoporphyrinogen/coproporphyrinogen III oxidase [EC:1.3.3.4 1.3.3.15]","PPOX, hemY"
210,K00232,"E1.3.3.6, ACOX1, ACOX3; acyl-CoA oxidase [EC:1.3.3.6]","E1.3.3.6, ACOX1, ACOX3"
211,K00233,"frdA, fdrA; succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1 7.1.1.12]","frdA, fdrA"
212,K00234,"SDHA, SDH1; succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1]","SDHA, SDH1"
213,K00235,"SDHB, SDH2; succinate dehydrogenase (ubiquinone) iron-sulfur subunit [EC:1.3.5.1]","SDHB, SDH2"
214,K00236,"SDHC, SDH3; succinate dehydrogenase (ubiquinone) cytochrome b560 subunit","SDHC, SDH3"
215,K00237,"SDHD, SDH4; succinate dehydrogenase (ubiquinone) membrane anchor subunit","SDHD, SDH4"
216,K00239,"sdhA, frdA; succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1]","sdhA, frdA"
217,K00240,"sdhB, frdB; succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1]","sdhB, frdB"
218,K00241,"sdhC, frdC; succinate dehydrogenase cytochrome b subunit","sdhC, frdC"
219,K00242,"sdhD, frdD; succinate dehydrogenase membrane anchor subunit","sdhD, frdD"
220,K00243,K00243; uncharacterized protein,K00243
221,K00244,frdA; succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1],frdA
222,K00245,frdB; succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1],frdB
223,K00246,frdC; succinate dehydrogenase subunit C,frdC
224,K00247,frdD; succinate dehydrogenase subunit D,frdD
225,K00248,"ACADS, bcd; butyryl-CoA dehydrogenase [EC:1.3.8.1]","ACADS, bcd"
226,K00249,"ACADM, acd; acyl-CoA dehydrogenase [EC:1.3.8.7]","ACADM, acd"
227,K00251,AKR1D1; 3-oxo-5-beta-steroid 4-dehydrogenase [EC:1.3.1.3],AKR1D1
228,K00252,"GCDH, gcdH; glutaryl-CoA dehydrogenase [EC:1.3.8.6]","GCDH, gcdH"
229,K00253,"IVD, ivd; isovaleryl-CoA dehydrogenase [EC:1.3.8.4]","IVD, ivd"
230,K00254,"DHODH, pyrD; dihydroorotate dehydrogenase [EC:1.3.5.2]","DHODH, pyrD"
231,K00255,ACADL; long-chain-acyl-CoA dehydrogenase [EC:1.3.8.8],ACADL
232,K00257,"mbtN, fadE14; acyl-ACP dehydrogenase [EC:1.3.99.-]","mbtN, fadE14"
233,K00258,SWNR; swainsonine biosynthesis oxidoreductase SwnR [EC:1.3.1.-],SWNR
234,K00259,ald; alanine dehydrogenase [EC:1.4.1.1],ald
235,K00260,"gudB, rocG; glutamate dehydrogenase [EC:1.4.1.2]","gudB, rocG"
236,K00261,"GLUD1_2, gdhA; glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]","GLUD1_2, gdhA"
237,K00262,"E1.4.1.4, gdhA; glutamate dehydrogenase (NADP+) [EC:1.4.1.4]","E1.4.1.4, gdhA"
238,K00263,E1.4.1.9; leucine dehydrogenase [EC:1.4.1.9],E1.4.1.9
239,K00264,GLT1; glutamate synthase (NADH) [EC:1.4.1.14],GLT1
240,K00265,gltB; glutamate synthase (NADPH) large chain [EC:1.4.1.13],gltB
241,K00266,gltD; glutamate synthase (NADPH) small chain [EC:1.4.1.13],gltD
242,K00270,pdh; phenylalanine dehydrogenase [EC:1.4.1.20],pdh
243,K00271,vdh; valine dehydrogenase (NAD+) [EC:1.4.1.23],vdh
244,K00272,DDO; D-aspartate oxidase [EC:1.4.3.1],DDO
245,K00273,"DAO, aao; D-amino-acid oxidase [EC:1.4.3.3]","DAO, aao"
246,K00274,"MAO, aofH; monoamine oxidase [EC:1.4.3.4]","MAO, aofH"
247,K00275,"pdxH, PNPO; pyridoxamine 5'-phosphate oxidase [EC:1.4.3.5]","pdxH, PNPO"
248,K00276,"AOC3, AOC2, tynA; primary-amine oxidase [EC:1.4.3.21]","AOC3, AOC2, tynA"
249,K00277,LOX; protein-lysine 6-oxidase [EC:1.4.3.13],LOX
250,K00278,nadB; L-aspartate oxidase [EC:1.4.3.16],nadB
251,K00279,CKX; cytokinin dehydrogenase [EC:1.5.99.12],CKX
252,K00280,LOXL2_3_4; lysyl oxidase-like protein 2/3/4 [EC:1.4.3.-],LOXL2_3_4
253,K00281,"GLDC, gcvP; glycine dehydrogenase [EC:1.4.4.2]","GLDC, gcvP"
254,K00282,gcvPA; glycine dehydrogenase subunit 1 [EC:1.4.4.2],gcvPA
255,K00283,gcvPB; glycine dehydrogenase subunit 2 [EC:1.4.4.2],gcvPB
256,K00284,"GLU, gltS; glutamate synthase (ferredoxin) [EC:1.4.7.1]","GLU, gltS"
257,K00285,dadA; D-amino-acid dehydrogenase [EC:1.4.5.1],dadA
258,K00286,proC; pyrroline-5-carboxylate reductase [EC:1.5.1.2],proC
259,K00287,"DHFR, folA; dihydrofolate reductase [EC:1.5.1.3]","DHFR, folA"
260,K00288,MTHFD; methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase / formyltetrahydrofolate synthetase [EC:1.5.1.5 3.5.4.9 6.3.4.3],MTHFD
261,K00289,ALDH1L; formyltetrahydrofolate dehydrogenase [EC:1.5.1.6],ALDH1L
262,K00290,"LYS1; saccharopine dehydrogenase (NAD+, L-lysine forming) [EC:1.5.1.7]",LYS1
263,K00293,"LYS9; saccharopine dehydrogenase (NADP+, L-glutamate forming) [EC:1.5.1.10]",LYS9
264,K00294,E1.2.1.88; 1-pyrroline-5-carboxylate dehydrogenase [EC:1.2.1.88],E1.2.1.88
265,K00295,MTD1; methylenetetrahydrofolate dehydrogenase (NAD+) [EC:1.5.1.15],MTD1
