,reaction,name
51,R00063,"1-O-sinapoyl-beta-D-glucose:1-O-sinapoyl-beta-D-glucose 1-O-sinapoyltransferase; 1-O-(4-hydroxy-3,5-dimethoxycinnamoyl)-beta-D-glucoside:1-O-(4-hydroxy-3,5-dimethoxycinnamoyl-beta-D-glucoside 1-O-sinapoyltransferase; 2 1-O-Sinapoyl-beta-D-glucose <=> 1,2-Bis-O-sinapoyl-beta-D-glucose + D-Glucose"
52,R00066,"6,7-Dimethyl-8-(1-D-ribityl)lumazine:6,7-dimethyl-8-(1-D-ribityl)lumazine 2,3-butanediyltransferase; 2 6,7-Dimethyl-8-(D-ribityl)lumazine <=> Riboflavin + 5-Amino-6-(1-D-ribitylamino)uracil"
53,R00067,Reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing); 2 e- + 2 H+ <=> Hydrogen
54,R00068,L-ascorbate:oxygen oxidoreductase; Oxygen + 2 Ascorbate <=> 2 Dehydroascorbate + 2 H2O
55,R00069,4-imidazolone-5-propanoate:oxygen oxidoreductase; Hydantoin-5-propionate + Hydrogen peroxide <=> 4-Imidazolone-5-propanoate + Oxygen + H2O
56,R00070,D-urobilinogen:oxygen oxidoreductase; 2 D-Urobilinogen + Oxygen <=> 2 D-Urobilin + 2 H2O
57,R00072,thiamine-aldehyde:oxygen 5-oxidoreductase; Thiamine aldehyde + Oxygen + H2O <=> Hydrogen peroxide + Thiamine acetic acid
58,R00073,reduced acceptor:prostaglandin G2 oxidoreductase; Prostaglandin H2 + Acceptor + H2O <=> Prostaglandin G2 + Reduced acceptor
59,R00074,2-aminophenol:oxygen oxidoreductase (dimerizing); 4 2-Aminophenol + 3 Oxygen <=> 2 2-Aminophenoxazin-3-one + 6 H2O
60,R00075,S-adenosyl-L-methionine:S-adenosyl-L-methionine 3-amino-3-carboxypropyltransferase; 3 S-Adenosyl-L-methionine <=> 3 5'-Methylthioadenosine + Nicotianamine
61,R00076,ATP:phosphorylase-b phosphotransferase; ATP:[glycogen phosphorylase] phosphotransferase; 4 ATP + 2 Phosphorylase b <=> 4 ADP + Phosphorylase a
62,R00077,[Phosphorylase a] phosphohydrolase; [glycogen phosphorylase] phosphohydrolase; Phosphorylase a + 4 H2O <=> 2 Phosphorylase b + 4 Orthophosphate
63,R00078,Fe(II):oxygen oxidoreductase; Fe2+:oxygen oxidoreductase; Oxygen + 4 Fe2+ + 4 H+ <=> 4 Fe3+ + 2 H2O
64,R00080,"Catechol:oxygen oxidoreductase (dimerizing); 4 Catechol + 3 Oxygen <=> 6 H2O + 2 Dibenzo[1,4]dioxin-2,3-dione"
65,R00081,ferrocytochrome-c:oxygen oxidoreductase; Oxygen + 4 Ferrocytochrome c + 4 H+ <=> 4 Ferricytochrome c + 2 H2O
66,R00082,ferrocytochrome c2:oxygen oxidoreductase; Oxygen + 4 Ferrocytochrome c2 <=> 4 Ferricytochrome c2 + 2 H2O
67,R00083,Benzenediol:oxygen oxidoreductase; Oxygen + 4 Benzenediol <=> 4 Semiquinone + 2 H2O
68,R00084,porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing); porphobilinogen ammonia-lyase (polymerizing); 4 Porphobilinogen + H2O <=> Hydroxymethylbilane + 4 Ammonia
69,R00085,ATP diphosphohydrolase (phosphate-forming); ATP + 2 H2O <=> AMP + 2 Orthophosphate
70,R00086,ATP phosphohydrolase; ATP + H2O <=> ADP + Orthophosphate
71,R00087,ATP diphosphohydrolase (diphosphate-forming); ATP pyrophosphohydrolase; ATP + H2O <=> AMP + Diphosphate
72,R00088,ATP aminohydrolase; ATP + H2O <=> ITP + Ammonia
73,R00089,"ATP diphosphate-lyase (cyclizing; 3',5'-cyclic-AMP-forming); ATP <=> 3',5'-Cyclic AMP + Diphosphate"
74,R00090,NADH:hydrogen-peroxide oxidoreductase; Hydrogen peroxide + NADH + H+ <=> NAD+ + 2 H2O
75,R00091,CoA:NAD+ oxidoreductase; NAD+ + 2 CoA <=> CoA-disulfide + NADH + H+
76,R00092,Fe2+:NAD+ oxidoreductase; NADH:Fe3+ oxidoreductase; NAD+ + 2 Fe2+ <=> NADH + H+ + 2 Fe3+
77,R00093,L-glutamate:NAD+ oxidoreductase (transaminating); 2 L-Glutamate + NAD+ <=> L-Glutamine + 2-Oxoglutarate + NADH + H+
78,R00094,glutathione:NAD+ oxidoreductase; 2 Glutathione + NAD+ <=> Glutathione disulfide + NADH + H+
79,R00095,NADH:monodehydroascorbate oxidoreductase; NAD+ + 2 Ascorbate <=> NADH + 2 Monodehydroascorbate + H+
80,R00097,Cob(II)alamin <=> Aquacob(III)alamin
81,R00099,Cob(I)alamin <=> Cob(II)alamin
82,R00100,NADH:ferricytochrome-b5 oxidoreductase; NADH + 2 Ferricytochrome b5 <=> NAD+ + 2 Ferrocytochrome b5 + H+
83,R00101,NADH:ferrileghemoglobin oxidoreductase; NADH + 2 Ferrileghemoglobin <=> NAD+ + 2 Ferroleghemoglobin + H+
84,R00102,NAD+ glycohydrolase; NAD+ + H2O <=> Nicotinamide + ADP-ribose
85,R00103,NAD+ phosphohydrolase; NAD+ + H2O <=> AMP + Nicotinamide D-ribonucleotide
86,R00104,ATP:NAD+ 2'-phosphotransferase; ATP + NAD+ <=> ADP + NADP+
87,R00105,ATP:NADH 2'-phosphotransferase; ATP + NADH <=> ADP + NADPH
88,R00106,NADPH:ferricytochrome oxidoreductase; NADPH + 2 Ferricytochrome <=> NADP+ + 2 Ferrocytochrome + H+
89,R00108,NADPH:ferricytochrome-c2 oxidoreductase; NADPH + 2 Ferricytochrome c2 <=> NADP+ + 2 Ferrocytochrome c2 + H+
90,R00109,NADPH:ferrileghemoglobin oxidoreductase; NADPH + 2 Ferrileghemoglobin <=> NADP+ + 2 Ferroleghemoglobin + H+
91,R00111,"N-(omega)-Hydroxyarginine,NADPH:oxygen oxidoreductase (nitric-oxide-forming); NADPH + 2 N(omega)-Hydroxyarginine + 2 Oxygen + H+ <=> NADP+ + 2 Nitric oxide + 2 L-Citrulline + 2 H2O"
92,R00112,NADPH:NAD+ oxidoreductase; NADPH + NAD+ <=> NADP+ + NADH
93,R00113,NADPH:hydrogen-peroxide oxidoreductase; Hydrogen peroxide + NADPH + H+ <=> NADP+ + 2 H2O
94,R00114,L-glutamate:NADP+ oxidoreductase (transaminating); 2 L-Glutamate + NADP+ <=> L-Glutamine + 2-Oxoglutarate + NADPH + H+
95,R00115,glutathione:NADP+ oxidoreductase; 2 Glutathione + NADP+ <=> Glutathione disulfide + NADPH + H+
96,R00118,NADP+ 2'-phosphohydrolase; NADP+ + H2O <=> Orthophosphate + NAD+
97,R00119,NADP+:nicotinate ADP-ribosyltransferase; NADP+ + Nicotinate <=> Nicotinamide + Nicotinic acid adenine dinucleotide phosphate
98,R00120,glutathione:oxygen oxidoreductase; Oxygen + 2 Glutathione <=> Glutathione disulfide + Hydrogen peroxide
99,R00122,ADP phosphohydrolase; ADP + H2O <=> AMP + Orthophosphate
100,R00123,ADP aminohydrolase; ADP + H2O <=> IDP + Ammonia
101,R00124,ATP:ADP phosphatransferase; ATP + ADP <=> ADP + ATP
102,R00125,"P1,P4-bis(5'-adenosyl)-tetraphosphate nucleotidebisphosphohydrolase; P1,P4-Bis(5'-adenosyl)tetraphosphate + H2O <=> 2 ADP"
103,R00126,"ADP:ATP adenylyltransferase; ADP + ATP <=> Orthophosphate + P1,P4-Bis(5'-adenosyl)tetraphosphate"
104,R00127,ATP:AMP phosphotransferase; ATP + AMP <=> 2 ADP
105,R00128,Adenosine-tetraphosphate phosphohydrolase; Adenosine tetraphosphate + H2O <=> ATP + Orthophosphate
106,R00129,"(6S)-6beta-hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide hydro-lyase (ATP-hydrolysing, NADH-forming); ATP + (6S)-6beta-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide <=> ADP + Orthophosphate + NADH"
107,R00130,ATP:dephospho-CoA 3'-phosphotransferase; ATP + Dephospho-CoA <=> ADP + CoA
108,R00131,Urea amidohydrolase; Urea + H2O <=> CO2 + 2 Ammonia
109,R00132,carbonate hydro-lyase (carbon-dioxide-forming); carbonic acid hydro-lyase; Carbonic acid <=> CO2 + H2O
110,R00134,formate:NADP+ oxidoreductase; Formate + NADP+ <=> CO2 + NADPH + H+
111,R00135,Peptide + H2O <=> L-Proline + Peptide
112,R00137,ATP:nicotinamide-nucleotide adenylyltransferase; ATP + Nicotinamide D-ribonucleotide <=> Diphosphate + NAD+
113,R00138,Triphosphate phosphohydrolase; Triphosphate + H2O <=> Diphosphate + Orthophosphate
114,R00139,ATP:2'-deoxy-5-hydroxymethylcytidine-5'-diphosphate phosphotransferase; 2'-Deoxy-5-hydroxymethylcytidine-5'-diphosphate + ATP <=> 2'-Deoxy-5-hydroxymethylcytidine-5'-triphosphate + ADP
115,R00140,ATP:5-hydroxymethyldeoxycytidylate phosphotransferase; 2'-Deoxy-5-hydroxymethylcytidine-5'-diphosphate + ADP <=> 5-Hydroxymethyldeoxycytidylate + ATP
116,R00141,ATP:ammonia phosphotransferase; ATP + Ammonia <=> ADP + Phosphoramidate
117,R00143,ammonia:NAD+ oxidoreductase; NADH:hydroxylamine oxidoreductase; Ammonia + NAD+ + H2O <=> Hydroxylamine + NADH + H+
118,R00145,alpha-amino acid:NAD+ oxidoreductase (deaminating); alpha-Amino acid + H2O + NAD+ <=> 2-Oxo acid + Ammonia + NADH + H+
119,R00146,alpha-amino acid:NADP+ oxidoreductase (deaminating); alpha-Amino acid + H2O + NADP+ <=> 2-Oxo acid + Ammonia + NADPH + H+
120,R00148,"ammonia,ubiquinol:oxygen oxidoreductase; ammonia monooxygenase; Ammonia + Oxygen + Ubiquinol <=> Hydroxylamine + H2O + Ubiquinone"
121,R00149,"Carbon-dioxide:ammonia ligase (ADP-forming,carbamate-phosphorylating); 2 ATP + Ammonia + CO2 + H2O <=> 2 ADP + Orthophosphate + Carbamoyl phosphate"
122,R00150,ATP:carbamate phosphotransferase; ATP + Ammonia + HCO3- <=> ADP + Carbamoyl phosphate + H2O
123,R00152,hydrogen cyanide aminohydrolase; Hydrogen cyanide + 2 H2O <=> Ammonia + Formate
124,R00153,Reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing); Hydrazine + 2 e- + 2 H+ <=> 2 Ammonia
125,R00155,UDP phosphohydrolase; UDP + H2O <=> UMP + Orthophosphate
126,R00156,ATP:UDP phosphotransferase; ATP + UDP <=> ADP + UTP
127,R00157,Uridine triphosphate:AMP phosphotransferase; UTP:AMP phosphotransferase; UTP + AMP <=> UDP + ADP
128,R00158,ATP:UMP phosphotransferase; ATP + UMP <=> ADP + UDP
129,R00159,UTP phosphohydrolase; UTP + H2O <=> UDP + Orthophosphate
130,R00160,FAD nucleotidohydrolase; FAD + H2O <=> AMP + FMN
131,R00161,ATP:FMN adenylyltransferase; ATP + FMN <=> Diphosphate + FAD
132,R00162,ATP:protein phosphotransferase; ATP:protein phosphotransferase (Ca2+/calmodulin-dependent); ATP + Protein <=> ADP + Phosphoprotein
133,R00164,Phosphoprotein phosphohydrolase; Phosphoprotein + H2O <=> Protein + Orthophosphate
134,R00165,Protein <=> L-Alanyl-tRNA
135,R00166,Protein <=> L-Leucyl-tRNA
136,R00167,L-Arginyl-tRNA(Arg) <=> Protein-L-arginine
137,R00168,Protein <=> L-Valyl-tRNA(Val)
138,R00169,Protein <=> L-Glutamyl-tRNA(Glu)
139,R00170,Protein <=> L-Isoleucyl-tRNA(Ile)
140,R00172,Protein <=> Selenomethionyl-tRNA(Met)
141,R00173,pyridoxal-5'-phosphate phosphohydrolase; Pyridoxal phosphate + H2O <=> Pyridoxal + Orthophosphate
142,R00174,ATP:pyridoxal 5'-phosphotransferase; ATP + Pyridoxal <=> ADP + Pyridoxal phosphate
143,R00177,ATP:L-methionine S-adenosyltransferase; Orthophosphate + Diphosphate + S-Adenosyl-L-methionine <=> ATP + L-Methionine + H2O
144,R00178,S-adenosyl-L-methionine carboxy-lyase [S-adenosyl 3-(methylsulfanyl)propylamine-forming]; S-Adenosyl-L-methionine + H+ <=> S-Adenosylmethioninamine + CO2
145,R00179,S-adenosyl-L-methionine methylthioadenosine-lyase (1-aminocyclopropane-1-carboxylate-forming); S-Adenosyl-L-methionine <=> 1-Aminocyclopropane-1-carboxylate + 5'-Methylthioadenosine
146,R00181,AMP aminohydrolase; AMP + H2O <=> IMP + Ammonia
147,R00182,AMP phosphoribohydrolase; AMP + H2O <=> Adenine + D-Ribose 5-phosphate
148,R00183,adenosine 5'-monophosphate phosphohydrolase; AMP + H2O <=> Adenosine + Orthophosphate
149,R00184,"P1,P4-bis(5'-adenosyl)-tetraphosphate adenylohydrolase; P1,P4-Bis(5'-adenosyl)tetraphosphate + H2O <=> ATP + AMP"
150,R00185,ATP:adenosine 5'-phosphotransferase; ATP + Adenosine <=> ADP + AMP
151,R00187,"P1,P3-bis(5'-adenosyl)-triphosphate adenylohydrolase; P1,P3-Bis(5'-adenosyl) triphosphate + H2O <=> ADP + AMP"
152,R00188,"adenosine-3',5'-bisphosphate 3'-phosphohydrolase; Adenosine 3',5'-bisphosphate + H2O <=> AMP + Orthophosphate"
153,R00189,deamido-NAD+:ammonia ligase (AMP-forming); ATP + Deamino-NAD+ + Ammonia <=> AMP + Diphosphate + NAD+
154,R00190,AMP:diphosphate phospho-D-ribosyltransferase; AMP + Diphosphate <=> Adenine + 5-Phospho-alpha-D-ribose 1-diphosphate
155,R00191,"adenosine 3',5'-phosphate 5'-nucleotidohydrolase; 3',5'-Cyclic AMP + H2O <=> AMP"
156,R00192,S-Adenosyl-L-homocysteine hydrolase; S-Adenosyl-L-homocysteine + H2O <=> Adenosine + L-Homocysteine
157,R00193,S-Adenosyl-L-homocysteine aminohydrolase; S-Adenosyl-L-homocysteine + H2O <=> S-Inosyl-L-homocysteine + Ammonia
158,R00194,S-Adenosyl-L-homocysteine homocysteinylribohydrolase; S-Adenosyl-L-homocysteine + H2O <=> S-Ribosyl-L-homocysteine + Adenine
159,R00195,"2,3-diaminopropanoate ammonia-lyase (adding water; pyruvate-forming); 2,3-Diaminopropanoate + H2O <=> Pyruvate + 2 Ammonia"
160,R00196,(S)-Lactate:ferricytochrome-c 2-oxidoreductase; (S)-Lactate + 2 Ferricytochrome c <=> Pyruvate + 2 Ferrocytochrome c + 2 H+
161,R00197,(R)-Lactate:ferricytochrome-c 2-oxidoreductase; (R)-Lactate + 2 Ferricytochrome c <=> Pyruvate + 2 Ferrocytochrome c + 2 H+
162,R00198,(R)-Lactate:ferricytochrome-c-553 2-oxidoreductase; (R)-Lactate + 2 Ferricytochrome c-553 <=> Pyruvate + 2 Ferrocytochrome c-553 + 2 H+
163,R00199,"ATP:pyruvate,water phosphotransferase; ATP + Pyruvate + H2O <=> AMP + Phosphoenolpyruvate + Orthophosphate"
164,R00200,ATP:pyruvate 2-O-phosphotransferase; ATP + Pyruvate <=> ADP + Phosphoenolpyruvate
165,R00203,pyruvaldehyde:NAD+ oxidoreductase; 2-oxopropanal:NAD+ oxidoreductase; Methylglyoxal + NAD+ + H2O <=> Pyruvate + NADH + H+
166,R00205,2-Oxopropanal:NADP+ oxidoreductase; Methylglyoxal + NADP+ + H2O <=> Pyruvate + NADPH + H+
167,R00206,"ATP:pyruvate,phosphate phosphotransferase; ATP + Pyruvate + Orthophosphate <=> AMP + Phosphoenolpyruvate + Diphosphate"
168,R00207,Pyruvate:oxygen 2-oxidoreductase (phosphorylating); Pyruvate + Orthophosphate + Oxygen <=> Acetyl phosphate + Hydrogen peroxide + CO2
169,R00208,Phosphoenolpyruvate phosphohydrolase; Phosphoenolpyruvate + H2O <=> Pyruvate + Orthophosphate
170,R00209,pyruvate:NAD+ 2-oxidoreductase (CoA-acetylating); pyruvate dehydrogenase complex; Pyruvate + CoA + NAD+ <=> Acetyl-CoA + CO2 + NADH + H+
171,R00210,pyruvate:NADP+ 2-oxidoreductase (CoA-acetylating); Pyruvate + CoA + NADP+ <=> Acetyl-CoA + CO2 + NADPH + H+
172,R00211,pyruvate:oxygen 2-oxidoreductase (CoA-acetylating); Pyruvate + CoA + Oxygen <=> Hydrogen peroxide + Acetyl-CoA + CO2
173,R00212,Acetyl-CoA:formate C-acetyltransferase; Acetyl-CoA + Formate <=> CoA + Pyruvate
174,R00213,O-carbamoyl-L-serine ammonia-lyase (decarboxylating; pyruvate-forming); O-Carbamoyl-L-serine + H2O <=> Pyruvate + 2 Ammonia + CO2
175,R00214,(S)-malate:NAD+ oxidoreductase (decarboxylating); (S)-Malate + NAD+ <=> Pyruvate + CO2 + NADH + H+
176,R00215,(R)-Malate:NAD+ oxidoreductase (decarboxylating); (R)-Malate + NAD+ <=> Pyruvate + CO2 + NADH + H+
177,R00216,(S)-Malate:NADP+ oxidoreductase(oxaloacetate-decarboxylating); (S)-Malate + NADP+ <=> Pyruvate + CO2 + NADPH + H+
178,R00217,oxaloacetate carboxy-lyase (pyruvate-forming); Oxaloacetate <=> Pyruvate + CO2
179,R00218,acetylenedicarboxylate carboxy-lyase (pyruvate-forming); Acetylenedicarboxylate + H2O <=> Pyruvate + CO2
180,R00219,2-Hydroxyethylenedicarboxylate carboxy-lyase (pyruvate-forming); Pyruvate + CO2 <=> 2-Hydroxyethylenedicarboxylate
181,R00220,L-serine ammonia-lyase; L-Serine <=> Pyruvate + Ammonia
182,R00221,D-serine ammonia-lyase; D-Serine <=> Pyruvate + Ammonia
183,R00223,serine ammonia-lyase (pyruvate-forming); Serine <=> Pyruvate + Ammonia
184,R00224,pyruvate carboxy-lyase (acetaldehyde-forming); Pyruvate <=> Acetaldehyde + CO2
185,R00226,pyruvate:pyruvate acetaldehydetransferase (decarboxylating); (S)-2-acetolactate pyruvate-lyase (carboxylating); (S)-2-Acetolactate + CO2 <=> 2 Pyruvate
186,R00227,Acetyl-CoA hydrolase; Acetyl-CoA + H2O <=> CoA + Acetate
187,R00228,acetaldehyde:NAD+ oxidoreductase (CoA-acetylating); Acetaldehyde + CoA + NAD+ <=> Acetyl-CoA + NADH + H+
188,R00229,acetate:CoA ligase (ADP-forming); ATP + Acetate + CoA <=> ADP + Acetyl-CoA + Orthophosphate
189,R00230,acetyl-CoA:phosphate acetyltransferase; Acetyl-CoA + Orthophosphate <=> CoA + Acetyl phosphate
190,R00233,malonyl-CoA carboxy-lyase (acetyl-CoA-forming); Malonyl-CoA <=> Acetyl-CoA + CO2
191,R00235,Acetate:CoA ligase (AMP-forming); ATP + Acetate + CoA <=> AMP + Diphosphate + Acetyl-CoA
192,R00236,acetyl adenylate:CoA acetyltransferase; Acetyl adenylate + CoA <=> AMP + Acetyl-CoA
193,R00237,(3S)-citramalyl-CoA pyruvate-lyase (acetyl-CoA-forming); (3S)-Citramalyl-CoA <=> Acetyl-CoA + Pyruvate
194,R00238,acetyl-CoA:acetyl-CoA C-acetyltransferase; 2 Acetyl-CoA <=> CoA + Acetoacetyl-CoA
195,R00239,ATP:L-glutamate 5-phosphotransferase; ATP + L-Glutamate <=> ADP + L-Glutamyl 5-phosphate
196,R00243,L-glutamate:NAD+ oxidoreductase (deaminating); L-Glutamate + NAD+ + H2O <=> 2-Oxoglutarate + Ammonia + NADH + H+
197,R00245,L-glutamate gamma-semialdehyde:NAD+ oxidoreductase; L-Glutamate 5-semialdehyde + NAD+ + H2O <=> L-Glutamate + NADH + H+
198,R00248,L-glutamate:NADP+ oxidoreductase (deaminating); L-Glutamate + NADP+ + H2O <=> 2-Oxoglutarate + Ammonia + NADPH + H+
199,R00250,L-Glutamate:oxygen oxidoreductase (deaminating); L-Glutamate + Oxygen + H2O <=> 2-Oxoglutarate + Ammonia + Hydrogen peroxide
200,R00251,5-oxo-L-proline amidohydrolase (ATP-hydrolysing); ATP + 5-Oxoproline + 2 H2O <=> ADP + Orthophosphate + L-Glutamate
