gene name,#,KO,thrshld,score,E-value,KO definition,distance
AliiarcofaeciNapA,*,K02567,776.8,1319.7,0.0,nitrate reductase (cytochrome) [EC:1.9.6.1],1635.0
AliivilogeTtrA,*,K08357,722.33,1511.0,0.0,tetrathionate reductase subunit A,1683.0
AliiviwodanTtrA,*,K08357,722.33,1507.5,0.0,tetrathionate reductase subunit A,1690.0
AlkaliehrliArrA,*,K08352,591.5,688.3,1.1e-207,thiosulfate reductase / polysulfide reductase chain A [EC:1.8.5.5],1531.0
AlkaliehrliNasA,*,K00372,1068.0,1190.5,0.0,assimilatory nitrate reductase catalytic subunit [EC:1.7.99.-],1575.0
AlkaliehrliPsrA,*,K08352,591.5,840.3,1.2e-253,thiosulfate reductase / polysulfide reductase chain A [EC:1.8.5.5],1494.0
AlkalispirmobileArrA,*,K08352,591.5,690.0,3.2999999999999996e-208,thiosulfate reductase / polysulfide reductase chain A [EC:1.8.5.5],1523.0
AlliiroseosediminiFdhNAD,*,K00123,858.47,1052.6,0.0,formate dehydrogenase major subunit [EC:1.17.1.9],1593.0
AllosalinalopnoreFdhNAD,*,K00123,858.47,1022.8,0.0,formate dehydrogenase major subunit [EC:1.17.1.9],1646.0
AltererythroepoxiFdhNAD,*,K00123,858.47,1055.7,0.0,formate dehydrogenase major subunit [EC:1.17.1.9],1613.0
AmantiursilaNasA,*,K00372,1068.0,1200.7,0.0,assimilatory nitrate reductase catalytic subunit [EC:1.7.99.-],1553.0
AminiphilcircumFdhNAD,*,K05299,1213.8,1272.3,0.0,formate dehydrogenase (NADP+) alpha subunit [EC:1.17.1.10],1562.0
AminiphilcircumFdhNAD,*,K00123,858.47,1042.5,0.0,formate dehydrogenase major subunit [EC:1.17.1.9],1562.0
AminiphilcircumFdhNAD,*,K22516,981.17,983.2,4.5000000000000004e-297,formate dehydrogenase (coenzyme F420) alpha subunit [EC:1.17.98.3 1.8.98.6],1562.0
AminivibpyruvatFdhNAD,*,K05299,1213.8,1264.4,0.0,formate dehydrogenase (NADP+) alpha subunit [EC:1.17.1.10],1579.0
AminivibpyruvatFdhNAD,*,K00123,858.47,1048.2,0.0,formate dehydrogenase major subunit [EC:1.17.1.9],1579.0
AminoaminovorAioA,*,K08356,724.13,1118.4,0.0,arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1],1520.0
AminoaminovorNapA,*,K02567,776.8,1445.8,0.0,nitrate reductase (cytochrome) [EC:1.9.6.1],1514.0
AmorphcoralAioA,*,K08356,724.13,1193.1,0.0,arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1],1538.0
AmphriatlanAioA,*,K08356,724.13,1182.1,0.0,arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1],1542.0
AmphriatlanFdhNAD,*,K00123,858.47,1071.8,0.0,formate dehydrogenase major subunit [EC:1.17.1.9],1625.0
AmycolanigreFdhNAD,*,K00123,858.47,1030.6,0.0,formate dehydrogenase major subunit [EC:1.17.1.9],1582.0
AmycolataiwanFdhNAD,*,K00123,858.47,1026.6,0.0,formate dehydrogenase major subunit [EC:1.17.1.9],1590.0
AnabaencylindriNasC,*,K00367,1035.97,1210.7,0.0,ferredoxin-nitrate reductase [EC:1.7.7.2],1404.0
AnabaenopcirculaNasC,*,K00367,1035.97,1228.4,0.0,ferredoxin-nitrate reductase [EC:1.7.7.2],1422.0
AnaerobacarsenTtrA,*,K08357,722.33,969.2,2.2e-292,tetrathionate reductase subunit A,1697.0
AnaerobrancalifFdhNAD,*,K22341,1422.43,1440.5,0.0,"formate dehydrogenase (NAD+, ferredoxin) subunit [EC:1.17.1.11]",1579.0
AnaerobrancalifFdhNAD,*,K05299,1213.8,1374.5,0.0,formate dehydrogenase (NADP+) alpha subunit [EC:1.17.1.10],1579.0
AnaerobrancalifFdhNAD,*,K00123,858.47,1099.0,0.0,formate dehydrogenase major subunit [EC:1.17.1.9],1579.0
AnaerobrancalifFdhNAD,*,K22516,981.17,1026.0,0.0,formate dehydrogenase (coenzyme F420) alpha subunit [EC:1.17.98.3 1.8.98.6],1579.0
AnaerobrangottsFdhNAD,*,K22341,1422.43,1444.2,0.0,"formate dehydrogenase (NAD+, ferredoxin) subunit [EC:1.17.1.11]",1590.0
AnaerobrangottsFdhNAD,*,K05299,1213.8,1390.5,0.0,formate dehydrogenase (NADP+) alpha subunit [EC:1.17.1.10],1590.0
AnaerobrangottsFdhNAD,*,K00123,858.47,1112.4,0.0,formate dehydrogenase major subunit [EC:1.17.1.9],1590.0
AnaerobrangottsFdhNAD,*,K22516,981.17,1036.9,0.0,formate dehydrogenase (coenzyme F420) alpha subunit [EC:1.17.98.3 1.8.98.6],1590.0
AnaerolinthermoFdhNAD,*,K00123,858.47,1065.8,0.0,formate dehydrogenase major subunit [EC:1.17.1.9],1619.0
AnaeromyxdehalNapA,*,K02567,776.8,961.1,4.1e-290,nitrate reductase (cytochrome) [EC:1.9.6.1],1485.0
AnaeromyxdehalTtrA,*,K08357,722.33,1180.2,0.0,tetrathionate reductase subunit A,1633.0
AnaerosporhongkongFdhH,*,K22015,921.03,1285.9,0.0,formate dehydrogenase (hydrogenase) [EC:1.17.98.4 1.17.98.-],1441.0
AnaerosporhongkongFdhH,*,K00123,858.47,875.1,4.9e-264,formate dehydrogenase major subunit [EC:1.17.1.9],1441.0
AnaerosporhongkongNapA,*,K02567,776.8,1055.6,0.0,nitrate reductase (cytochrome) [EC:1.9.6.1],1467.0
AncylobacaquaFdhNAD,*,K00123,858.47,1054.0,0.0,formate dehydrogenase major subunit [EC:1.17.1.9],1614.0
AncylobacrudonFdhNAD,*,K00123,858.47,1049.7,0.0,formate dehydrogenase major subunit [EC:1.17.1.9],1611.0
AndrechitiniNasA,*,K00372,1068.0,1208.4,0.0,assimilatory nitrate reductase catalytic subunit [EC:1.7.99.-],1588.0
AneurinibacterrTtrA,*,K08357,722.33,1004.7,4.3000000000000005e-303,tetrathionate reductase subunit A,1725.0
Antarctohelio1NasA,*,K00372,1068.0,1227.8,0.0,assimilatory nitrate reductase catalytic subunit [EC:1.7.99.-],1526.0
AntarctohelioAioA,*,K08356,724.13,1088.4,0.0,arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1],1507.0
AphanizoflosNasC,*,K00367,1035.97,1210.3,0.0,ferredoxin-nitrate reductase [EC:1.7.7.2],1413.0
AquimaratlanNapA,*,K02567,776.8,1141.9,0.0,nitrate reductase (cytochrome) [EC:1.9.6.1],1485.0
AquimarlaterNapA,*,K02567,776.8,1145.8,0.0,nitrate reductase (cytochrome) [EC:1.9.6.1],1485.0
AquimarmacroFdhNAD,*,K00123,858.47,893.0,1.8999999999999998e-269,formate dehydrogenase major subunit [EC:1.17.1.9],1601.0
AquimarmegaFdhNAD,*,K00123,858.47,896.4,1.8000000000000001e-270,formate dehydrogenase major subunit [EC:1.17.1.9],1586.0
AquimarmegaNapA,*,K02567,776.8,1142.1,0.0,nitrate reductase (cytochrome) [EC:1.9.6.1],1490.0
Aquitalmagnuso1NasA,*,K00372,1068.0,1208.3,0.0,assimilatory nitrate reductase catalytic subunit [EC:1.7.99.-],1582.0
AquitalmagnusoFdhN,*,K08348,1823.1,1830.4,0.0,"formate dehydrogenase-N, alpha subunit [EC:1.17.5.3]",1694.0
ArabmassilNapA,*,K02567,776.8,1066.6,0.0,nitrate reductase (cytochrome) [EC:1.9.6.1],1522.0
ArabmassilTtrA,*,K08357,722.33,992.1,2.7999999999999996e-299,tetrathionate reductase subunit A,1697.0
Archaefulg1TtrA,*,K08357,722.33,806.8,2.6e-243,tetrathionate reductase subunit A,1797.0
ArchaefulgFwdB,*,K00201,187.4,528.4,1.1e-159,formylmethanofuran dehydrogenase subunit B [EC:1.2.7.12],1067.0
ArchaefulgPsrA,*,K08352,591.5,699.9,3.6000000000000003e-211,thiosulfate reductase / polysulfide reductase chain A [EC:1.8.5.5],1517.0
ArchaevenefiFdhN,*,K00123,858.47,882.7,2.5e-266,formate dehydrogenase major subunit [EC:1.17.1.9],1641.0
ArchaevenefiFwdB,*,K00201,187.4,579.4,3.5e-175,formylmethanofuran dehydrogenase subunit B [EC:1.2.7.12],1100.0
ArchangephyNapA,*,K02567,776.8,877.1,1e-264,nitrate reductase (cytochrome) [EC:1.9.6.1],1440.0
ArcoanaeroNapA,*,K02567,776.8,1320.3,0.0,nitrate reductase (cytochrome) [EC:1.9.6.1],1642.0
ArcocryaeroNapA,*,K02567,776.8,1317.9,0.0,nitrate reductase (cytochrome) [EC:1.9.6.1],1625.0
ArcoebronNapA,*,K02567,776.8,1315.5,0.0,nitrate reductase (cytochrome) [EC:1.9.6.1],1629.0
ArconitroTtrA,*,K08357,722.33,1218.6,0.0,tetrathionate reductase subunit A,1657.0
ArcotrophiNapA,*,K02567,776.8,1319.6,0.0,nitrate reductase (cytochrome) [EC:1.9.6.1],1619.0
ArdentmariFdhH,*,K00123,858.47,963.3,1.1e-290,formate dehydrogenase major subunit [EC:1.17.1.9],1394.0
ArdentmariNapA,*,K02567,776.8,1131.0,0.0,nitrate reductase (cytochrome) [EC:1.9.6.1],1453.0
ArdentmariTtrA,*,K08357,722.33,1089.3,0.0,tetrathionate reductase subunit A,1700.0
ArenialgicoNapA,*,K02567,776.8,1128.4,0.0,nitrate reductase (cytochrome) [EC:1.9.6.1],1486.0
ArenilateriNapA,*,K02567,776.8,1123.1,0.0,nitrate reductase (cytochrome) [EC:1.9.6.1],1474.0
ArenitalluteaNapA,*,K02567,776.8,1121.9,0.0,nitrate reductase (cytochrome) [EC:1.9.6.1],1486.0
ArhodoaquaFdhNAD,*,K00123,858.47,1043.7,0.0,formate dehydrogenase major subunit [EC:1.17.1.9],1639.0
ArhodoaquaTtrA,*,K08357,722.33,1489.0,0.0,tetrathionate reductase subunit A,1659.0
AromaromaTtrA,*,K08357,722.33,1411.3,0.0,tetrathionate reductase subunit A,1656.0
ArthroplatenNasC,*,K00367,1035.97,1212.1,0.0,ferredoxin-nitrate reductase [EC:1.7.7.2],1419.0
AsacchcelaNapA,*,K02567,776.8,1054.6,0.0,nitrate reductase (cytochrome) [EC:1.9.6.1],1536.0
AsacchcelaPsrA,*,K08352,591.5,748.8,5.699999999999999e-226,thiosulfate reductase / polysulfide reductase chain A [EC:1.8.5.5],1440.0
AsanoaferruFdhN,*,K00123,858.47,868.3,5.3e-262,formate dehydrogenase major subunit [EC:1.17.1.9],1746.0
AtlantibachermTtrA,*,K08357,722.33,1516.7,0.0,tetrathionate reductase subunit A,1633.0
Azoacomm1NapA,*,K02567,776.8,1449.7,0.0,nitrate reductase (cytochrome) [EC:1.9.6.1],1548.0
AzoacommTtrA,*,K08357,722.33,1394.0,0.0,tetrathionate reductase subunit A,1669.0
AzoatoluArrA,*,K08352,591.5,665.5,8.600000000000001e-201,thiosulfate reductase / polysulfide reductase chain A [EC:1.8.5.5],1534.0
AzoatoluclasNapA,*,K02567,776.8,1444.2,0.0,nitrate reductase (cytochrome) [EC:1.9.6.1],1557.0
AzohydrolataFdhNAD,*,K00123,858.47,1093.2,0.0,formate dehydrogenase major subunit [EC:1.17.1.9],1625.0
AzonexhydrophilNasA,*,K00372,1068.0,1169.2,0.0,assimilatory nitrate reductase catalytic subunit [EC:1.7.99.-],1552.0
AzospirbrasNapA,*,K02567,776.8,1461.3,0.0,nitrate reductase (cytochrome) [EC:1.9.6.1],1505.0
AzospirbrasTtrA,*,K08357,722.33,1457.6,0.0,tetrathionate reductase subunit A,1670.0
AzospirhaloAioA,*,K08356,724.13,1113.4,0.0,arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1],1511.0
AzospirhaloTtrA,*,K08357,722.33,1422.0,0.0,tetrathionate reductase subunit A,1658.0
AzospirhumiciNapA,*,K02567,776.8,1473.3,0.0,nitrate reductase (cytochrome) [EC:1.9.6.1],1540.0
Azospirlipo1FdhH,*,K22015,921.03,1318.4,0.0,formate dehydrogenase (hydrogenase) [EC:1.17.98.4 1.17.98.-],1456.0
AzospirlipoAioA,*,K08356,724.13,1089.1,0.0,arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1],1515.0
AzospirlipoNapA,*,K02567,776.8,1478.1,0.0,nitrate reductase (cytochrome) [EC:1.9.6.1],1535.0
AzospirlipoTtrA,*,K08357,722.33,1434.9,0.0,tetrathionate reductase subunit A,1689.0
Azospirthio1FdhH,*,K22015,921.03,1324.1,0.0,formate dehydrogenase (hydrogenase) [EC:1.17.98.4 1.17.98.-],1445.0
Azospirthio1NapA,*,K02567,776.8,1468.8,0.0,nitrate reductase (cytochrome) [EC:1.9.6.1],1536.0
AzospirthioTtrA,*,K08357,722.33,1417.1,0.0,tetrathionate reductase subunit A,1669.0
AzosporyzAioA,*,K08356,724.13,1122.9,0.0,arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1],1509.0
AzosporyzFdhN,*,K08348,1823.1,1823.4,0.0,"formate dehydrogenase-N, alpha subunit [EC:1.17.5.3]",1703.0
AzosporyzTtrA,*,K08357,722.33,1401.8,0.0,tetrathionate reductase subunit A,1683.0
AzotobacvineNasA,*,K00372,1068.0,1202.9,0.0,assimilatory nitrate reductase catalytic subunit [EC:1.7.99.-],1573.0
AzovibrestriNapA,*,K02567,776.8,1464.6,0.0,nitrate reductase (cytochrome) [EC:1.9.6.1],1548.0
BacilbevePsrA,*,K08352,591.5,711.9,8e-215,thiosulfate reductase / polysulfide reductase chain A [EC:1.8.5.5],1429.0
BacilbeveTtrA,*,K08357,722.33,1039.4,0.0,tetrathionate reductase subunit A,1700.0
BacilniacinFdhN,*,K00123,858.47,860.6,1.1999999999999999e-259,formate dehydrogenase major subunit [EC:1.17.1.9],1667.0
BacilnovalFdhN,*,K00123,858.47,858.8,4.1e-259,formate dehydrogenase major subunit [EC:1.17.1.9],1670.0
BaciloryziFdhN,*,K00123,858.47,864.2,9.9e-261,formate dehydrogenase major subunit [EC:1.17.1.9],1660.0
BacilpersPsrA,*,K08352,591.5,777.4,1.3e-234,thiosulfate reductase / polysulfide reductase chain A [EC:1.8.5.5],1440.0
BacilselenaPsr2,*,K08352,591.5,739.8,3e-223,thiosulfate reductase / polysulfide reductase chain A [EC:1.8.5.5],1479.0
BacilselenaPsrA1,*,K08352,591.5,784.5,9e-237,thiosulfate reductase / polysulfide reductase chain A [EC:1.8.5.5],1446.0
BacilselenaTtrA1,*,K08357,722.33,983.9,8e-297,tetrathionate reductase subunit A,1729.0
BacilselenaTtrA2,*,K08357,722.33,1040.1,0.0,tetrathionate reductase subunit A,1735.0
BacilseleniPsrA,*,K08352,591.5,713.1,3.6e-215,thiosulfate reductase / polysulfide reductase chain A [EC:1.8.5.5],1440.0
BacilseleniTtrA,*,K08357,722.33,1026.5,0.0,tetrathionate reductase subunit A,1712.0
BacilsubtPsrA,*,K08352,591.5,798.0,7.6e-241,thiosulfate reductase / polysulfide reductase chain A [EC:1.8.5.5],1430.0
BacilsubtTtrA,*,K08357,722.33,1060.3,0.0,tetrathionate reductase subunit A,1721.0
BalnelithoNapA,*,K02567,776.8,919.6,1.5000000000000001e-277,nitrate reductase (cytochrome) [EC:1.9.6.1],1602.0
BasfiasucciniFdhNAD,*,K00123,858.47,1002.4,1.6e-302,formate dehydrogenase major subunit [EC:1.17.1.9],1621.0
BauldlitoralFdhNAD,*,K00123,858.47,1048.0,0.0,formate dehydrogenase major subunit [EC:1.17.1.9],1610.0
BeggiaalbaFdhNAD,*,K00123,858.47,1045.1,0.0,formate dehydrogenase major subunit [EC:1.17.1.9],1597.0
BeggiaalbaNasA,*,K00372,1068.0,1235.4,0.0,assimilatory nitrate reductase catalytic subunit [EC:1.7.99.-],1575.0
BeggialeptoNasA,*,K00372,1068.0,1249.9,0.0,assimilatory nitrate reductase catalytic subunit [EC:1.7.99.-],1555.0
BibertrehaNapA,*,K02567,776.8,1420.0,0.0,nitrate reductase (cytochrome) [EC:1.9.6.1],1535.0
BilowadswoNapA,*,K02567,776.8,948.6,2.4e-286,nitrate reductase (cytochrome) [EC:1.9.6.1],1474.0
BlastococcaggreFdhN,*,K00123,858.47,873.5,1.5e-263,formate dehydrogenase major subunit [EC:1.17.1.9],1730.0
BlautiaschinFdhH,*,K22015,921.03,1184.6,0.0,formate dehydrogenase (hydrogenase) [EC:1.17.98.4 1.17.98.-],1449.0
BordebronchNapA,*,K02567,776.8,1467.7,0.0,nitrate reductase (cytochrome) [EC:1.9.6.1],1539.0
BordebronchTtrA,*,K08357,722.33,1468.3,0.0,tetrathionate reductase subunit A,1662.0
BordebronchialiFdhNAD,*,K00123,858.47,1086.0,0.0,formate dehydrogenase major subunit [EC:1.17.1.9],1606.0
BordehinziiFdhNAD,*,K00123,858.47,1069.5,0.0,formate dehydrogenase major subunit [EC:1.17.1.9],1589.0
BordeparaNapA,*,K02567,776.8,1466.3,0.0,nitrate reductase (cytochrome) [EC:1.9.6.1],1539.0
BordeparaTtrA,*,K08357,722.33,1468.4,0.0,tetrathionate reductase subunit A,1660.0
BosealathyNapA,*,K02567,776.8,1441.9,0.0,nitrate reductase (cytochrome) [EC:1.9.6.1],1521.0
BoseathiooxiNapA,*,K02567,776.8,1442.3,0.0,nitrate reductase (cytochrome) [EC:1.9.6.1],1527.0
BrachydenitrTtrA,*,K08357,722.33,1377.5,0.0,tetrathionate reductase subunit A,1678.0
BradymonsedimiNapA,*,K02567,776.8,1083.0,0.0,nitrate reductase (cytochrome) [EC:1.9.6.1],1485.0
BradyrhizoerythroFdhNAD,*,K00123,858.47,1042.8,0.0,formate dehydrogenase major subunit [EC:1.17.1.9],1592.0
BreogcorruFdhH,*,K22015,921.03,1286.3,0.0,formate dehydrogenase (hydrogenase) [EC:1.17.98.4 1.17.98.-],1481.0
BreogcorruTtrA,*,K08357,722.33,1372.8,0.0,tetrathionate reductase subunit A,1649.0
BrocadsapporFdhNAD,*,K05299,1213.8,1303.4,0.0,formate dehydrogenase (NADP+) alpha subunit [EC:1.17.1.10],1561.0
BrocadsapporFdhNAD,*,K00123,858.47,1023.2,0.0,formate dehydrogenase major subunit [EC:1.17.1.9],1561.0
BrocadsinicaFdhNAD,*,K05299,1213.8,1313.9,0.0,formate dehydrogenase (NADP+) alpha subunit [EC:1.17.1.10],1572.0
BrocadsinicaFdhNAD,*,K00123,858.47,1036.1,0.0,formate dehydrogenase major subunit [EC:1.17.1.9],1572.0
BrocklithPsrA,*,K08352,591.5,746.6,2.6e-225,thiosulfate reductase / polysulfide reductase chain A [EC:1.8.5.5],1457.0
BudvicaquaFdhN,*,K08348,1823.1,1891.1,0.0,"formate dehydrogenase-N, alpha subunit [EC:1.17.5.3]",1648.0
BurkbonniNapA,*,K02567,776.8,1467.1,0.0,nitrate reductase (cytochrome) [EC:1.9.6.1],1535.0
BurkinsectNasA,*,K00372,1068.0,1299.4,0.0,assimilatory nitrate reductase catalytic subunit [EC:1.7.99.-],1546.0
BurkinsectiNapA,*,K02567,776.8,1460.9,0.0,nitrate reductase (cytochrome) [EC:1.9.6.1],1511.0
BurkmultiAioA,*,K08356,724.13,1218.6,0.0,arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1],1553.0
BurknovacalNasA,*,K00372,1068.0,1294.0,0.0,assimilatory nitrate reductase catalytic subunit [EC:1.7.99.-],1563.0
BurkoklaAioA,*,K08356,724.13,1170.0,0.0,arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1],1514.0
BurkpseudoAioA,*,K08356,724.13,1221.9,0.0,arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1],1539.0
BurkvietAioA,*,K08356,724.13,1222.8,0.0,arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1],1549.0
ButtiaferrTtrA,*,K08357,722.33,1522.5,0.0,tetrathionate reductase subunit A,1651.0
ButtiagaviTtrA,*,K08357,722.33,1542.7,0.0,tetrathionate reductase subunit A,1640.0
CabalhumiNasA,*,K00372,1068.0,1289.6,0.0,assimilatory nitrate reductase catalytic subunit [EC:1.7.99.-],1552.0
CabalhypogeNapA,*,K02567,776.8,1468.3,0.0,nitrate reductase (cytochrome) [EC:1.9.6.1],1516.0
CabaljiangAioA,*,K08356,724.13,1206.7,0.0,arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1],1542.0
CabalperedAioA,*,K08356,724.13,1205.9,0.0,arsenite oxidase large subunit [EC:1.20.2.1 1.20.9.1],1544.0
CabaltelluriFdhNAD,*,K00123,858.47,1069.9,0.0,formate dehydrogenase major subunit [EC:1.17.1.9],1625.0
CabaltelluriNapA,*,K02567,776.8,1458.2,0.0,nitrate reductase (cytochrome) [EC:1.9.6.1],1540.0
CabalturbanNapA,*,K02567,776.8,1466.5,0.0,nitrate reductase (cytochrome) [EC:1.9.6.1],1527.0
CabalturbanNasA,*,K00372,1068.0,1294.9,0.0,assimilatory nitrate reductase catalytic subunit [EC:1.7.99.-],1554.0
CaenispbisaTtrA,*,K08357,722.33,1444.9,0.0,tetrathionate reductase subunit A,1711.0
CaenispsaliTtrA,*,K08357,722.33,1476.4,0.0,tetrathionate reductase subunit A,1667.0
CaldanaeroviracetiFdhH,*,K22516,981.17,1021.0,0.0,formate dehydrogenase (coenzyme F420) alpha subunit [EC:1.17.98.3 1.8.98.6],1402.0
CaldanaeroviracetiFdhH,*,K00123,858.47,990.8,5.1e-299,formate dehydrogenase major subunit [EC:1.17.1.9],1402.0
CalderimariFdhNAD,*,K05299,1213.8,1344.5,0.0,formate dehydrogenase (NADP+) alpha subunit [EC:1.17.1.10],1622.0
