,predictions
DesulfovalasPsrA,Mo
DesulfovalkalArrA,Mo
DesulfovalkalPsrA,Mo
Desulfovdesulf1FdhN,Mo
Desulfovdesulf1NapA,Mo
DesulfovdesulfTtrA,Mo
DesulfoverhaloArrA,Mo
DesulfoverhaloFdhNAD,Mo
DesulfovfairNapA,Mo
DesulfovfrigPsrA,Mo
DesulfovgigaFdhN,Mo
DesulfovirthermocuniFdhNAD,Mo
DesulfovmagnTtrA1,Mo
DesulfovmagnTtrA2,Mo
DesulfovmexiTtrA,Mo
DesulfovsalexiFdhN,Mo
DesulfovvulgarFdhN,Mo
DesulfoyounArrA,Mo
DesulfoyounFdhN,Mo
DesulfoyounFdhNAD,Mo
DesulfoyounPsrA,Mo
DesulfuralkaArrA,Mo
DesulfuralkaFdhN,Mo
DesulfuralkaPsrA,Mo
DesulfurelamilTtrA,Mo
DesulfuriindiArrA,Mo
DesulfuriindiNapA,Mo
DesulfuriindiPsrA,Mo
DesulfuriindiTtrA,Mo
DesulfurisporthermoFdhNAD,Mo
DesulfurivalkalPsrA,Mo
DesulfuromacetPsrA,Mo
DesulfuromsoudArrA,Mo
DesulfuromsoudFdhN,Mo
DesulfuromsoudNapA,Mo
DesulfuromsoudPsrA,Mo
DesulfuromukysiTtrA1,Mo
DesulfuromukysiTtrA2,Mo
DesulfurstibArrA,Mo
DesulfurstibArrA1,Mo
DesulfurstibFdhN,Mo
DesulfurstibPsrA,Mo
DesulfurstibTtrA1,Mo
DiaphopolyTtA,Mo
DichotothermAioA,Mo
DickeyadadanNasA,Mo
DickeyazeaeNasA,Mo
DissulfurthermNapA,Mo
DissulfurthermTtrA1,Mo
DissulfurthermTtrA2,Mo
DomibacaminvorNasC,Mo
DomibacjocasaNasC,Mo
DraconisedimiNapA,Mo
DuganphylloNasA,Mo
DugansacchariNasA,Mo
Dyellajapon1NapA,Mo
DyellajaponFdhNAD,Mo
DyellajiangFdhN,Mo
DyellathiooxyFdhNAD,Mo
EdwardictaFdhN,Mo
EdwardpiscPsrA,Mo
Edwardtard1FdhN,Mo
EdwardtardPsrA,Mo
EffusibaclacusNapA,Mo
EffusibaclacusNasC,Mo
EffusibacpohliaNasC,Mo
EggerlentFdhH,Mo
EggerlentFdhNAD,Mo
EggerlentNapA,Mo
EggerlentPsrA1,Mo
EggerlentPsrA2,Mo
EggerlentTtrA,Mo
EggertimonFdhH,Mo
EggertimonFdhNAD,Mo
EggertimonNapA,Mo
EggertimonPsrA,Mo
EggertimonTtrA,Mo
EnsiferadhaeNapA,Mo
EnsiferalkaliFdhN,Mo
EnsiferaridiFdhN,Mo
EnterobaccloaFdhH,Mo
EnterobaccloaNasA,Mo
EnterorhabcaecFdhH,Mo
EnterorhabcaecFdhNAD,Mo
EnterorhabcaecNapA,Mo
EnterorhabcaecPsrA,Mo
EnterorhabmucosiFdhH,Mo
EnterorhabmucosiFdhNAD,Mo
EnterorhabmucosiNapA,Mo
EnteroscirubnerNapA,Mo
EnterovicoraNapA,Mo
EnterovinorveNapA,Mo
EoetcaeniAioA,Mo
EpibacmultiNasA,Mo
ErwintoleNasA,Mo
ErythrobaccitreusNasA,Mo
Eschercoli1BisC,Mo
Eschercoli1DmsA,Mo
Eschercoli1NarG,Mo
Eschercoli1TorA,Mo
Eschercoli1TtrA,Mo
Eschercoli2FdhH,Mo
Eschercoli2FdhN,Mo
Eschercoli2NapA,Mo
EschercoliPsrA,Mo
EscherferguFdhN,Mo
EscherferguNapA,Mo
FalsochroovisTtrA,Mo
FerribaleaArrA,Mo
FerrifuttArrA,Mo
FerrifuttNapA,Mo
FerrifuttPsrA,Mo
FerrikyonArrA,Mo
FerrikyonPsrA,Mo
FerriphasamniNasA,Mo
FerrisediArrA,Mo
FerrisediNapA,Mo
FerrisediPsrA,Mo
FerrisentPsrA,Mo
FerroglobplacidFdhN,Mo
FerroglobplacidFwdB,Mo
FischerthermalNasC,Mo
FlagellipacifiNapA,Mo
FlavieckloNapA,Mo
FlavobacdenitrifiNasC,Mo
FlavobacgilliNasC,Mo
FlavobacgilvumFdhNAD,Mo
FlavobacgilvumNasC,Mo
FlavobacsucciniNasC,Mo
FlexidorothPsrA,Mo
FlexisinuNapA,Mo
FlexisinuPsrA,Mo
FodinifengAioA,Mo
FontibacpanaciNasC,Mo
FormosahaliNapA,Mo
FrederikcaniFdhN,Mo
FuerstmarisNapA,Mo
GaetbulisaemaNapA,Mo
GallibacanatTtrA,Mo
GayadojoobiNasA,Mo
GeoalkaliferriFdhN,Mo
GeoalkalisubtFdhN,Mo
GeoalkalisubtNapA,Mo
GeoalkalisubtTtrA,Mo
GeobacbemidjienFdhN,Mo
GeobacdaltTtrA1,Mo
GeobacdaltTtrA2,Mo
GeobaciljurassiNasC,Mo
GeobacilkaustoNasC,Mo
GeobacilstearoNasC,Mo
GeobaclovleArrA,Mo
GeobaclovleNapA,Mo
GeobacmetalliFdhN,Mo
GeobacpickNapA,Mo
GeobacsulfurFdhN,Mo
GeobacthiogeArrA,Mo
GeobacthiogeNapA,Mo
GeobacuranArrA,Mo
GeobacuranFdhN,Mo
GeobacuranTtrA,Mo
GeoglobacetiFwdB,Mo
GeopsychroelectFdhN,Mo
GeopsychroelectPsrA,Mo
GeosporobacsubtFdhNAD,Mo
GeothrifermenPsrA,Mo
GeovibthioNapA,Mo
GilliaapicolFdhN,Mo
GlaesparaNapA,Mo
GleoeokilauNasC,Mo
GordonpamePsrA,Mo
GordonpameTtrA,Mo
GordonurolArrA,Mo
GordonurolFdhNAD,Mo
GordonurolNapA,Mo
GordonurolPsrA,Mo
GordonurolTtrA,Mo
GottschalaciduriFdhNAD,Mo
GottschalpuriniFdhNAD,Mo
GrimonholliNapA,Mo
GulbenindicaFdhN,Mo
GulbenmobiliFdhN,Mo
HaematobacmassiliFdhN,Mo
HaematobacmissourFdhN,Mo
HaemophilhaemoNapA,Mo
HaemophilinflueNapA,Mo
HaemophilmassiliFdhH,Mo
HaemophilquentiFdhH,Mo
HafniaparaFdhN,Mo
HalanaerosulfPsrA1,Mo
HalanaerosulfPsrA2,Mo
HalanaerosulfTtrA,Mo
HalaprisaliPsrA,Mo
HalaprisaliTtrA,Mo
HalarsensilverArrA,Mo
HaliscomehydroFdhNAD,Mo
HalobellimiTtrA,Mo
HalobihaloTtrA,Mo
HalobilaciAioA,Mo
HalobilaciTtrA,Mo
HalobinitratArrA,Mo
HalobinitratPsrA,Mo
HalocynthiarctiAioA,Mo
HalodesulfurformPsrA1,Mo
HalodesulfurformPsrA2,Mo
HalodesulfurformTtrA,Mo
HalofergibbonNasC,Mo
HalofermediterrNasC,Mo
HalofersulfuriNasC,Mo
HalogeorufuTtrA,Mo
HalogranamyloTtrA,Mo
HalolampelaTtrA,Mo
HalolamrubraTtrA,Mo
HalomonaestAioA,Mo
HalomonalkaliTtrA,Mo
HalomonbolivieAioA,Mo
HalomonbolivieArrA,Mo
HalomonchromatArrA,Mo
HalomongudaTtrA,Mo
HalomonilicTtrA,Mo
HalomonmeriTtrA,Mo
HalomonxianhenFdhNAD,Mo
HalopiaswaTtrA,Mo
HalorhodhaloArrA,Mo
HalorhodhaloPsrA,Mo
HaloripersTtrA,Mo
HalorukocuTtrA,Mo
HalorupersTtrA,Mo
HalorutebenAioA,Mo
HalorutrapTtrA,Mo
HalorutropTtrA,Mo
HaloruvacuoPsrA1,Mo
HaloruvacuoPsrA2,Mo
HaloterrsacchTtrA,Mo
HelicoapodeNapA,Mo
HelicocanadPsrA,Mo
HelicomusteNapA,Mo
HelicopameNapA,Mo
HelicowingPsrA,Mo
HerbaspaquatiNasA,Mo
HerbaspchloroAioA,Mo
HerbasphuttiNasA,Mo
HerbasprhizoNasA,Mo
HerbasprubriFdhNAD,Mo
HerbaspseropediFdhNAD,Mo
HerminarseniAioA,Mo
Hippealvi1FdhNAD,Mo
HippealviPsrA,Mo
HippejasonPsrA,Mo
HistophsomniTtrA,Mo
HumiroseaAioA,Mo
HydrogenicaldiAioA,Mo
HydrogenicaldiFdhN,Mo
HydrogenicaldiNapA,Mo
HydrogenithermoNapA,Mo
HydrogenithermoPsrA,Mo
HydrogenobachydrogenFdhN,Mo
HydrogenobacthermoFdhN,Mo
HylemongraciliFdhNAD,Mo
HyphonitratiNapA,Mo
HyunjejuPsrA,Mo
IdeodechlorClrA,Mo
IgnavialbumPsrA,Mo
IgnavialbumTtrA,Mo
IlyobacpolyFdhNAD,Mo
InhelinkyonNapA,Mo
InquililimosusFdhN,Mo
IodofluviaNapA,Mo
IsosphaepalliFdhNAD,Mo
Janthinlivi1NasA,Mo
JanthinliviTtrA,Mo
JanthinsvalNasA,Mo
JanthinsvalTtrA,Mo
JejupallPsrA,Mo
KaistgranuNapA,Mo
KilolaminaNapA,Mo
KilolitopeNapA,Mo
KingelnegeveFdhN,Mo
KingeloraliFdhN,Mo
KitasatatroaurNasC,Mo
KitasatmediociNasC,Mo
KlebsioxytoTtrA,Mo
Klebsipneu1FdhH,Mo
Klebsipneu1FdhN,Mo
Klebsipneu1NasA,Mo
KlebsipneuTtrA,Mo
KlebsivariiFdhN,Mo
KribelsoliFdhNAD,Mo
KuenenstuttgarFdhNAD,Mo
LabilifiliPsrA,Mo
LabilimanganPsrA,Mo
LaribachongTtrA,Mo
LebetinatsuNapA,Mo
LecleradecarTtrA,Mo
LeeiaoryzaFdhNAD,Mo
LeisincaeruNapA,Mo
LeisingaquaFdhNAD,Mo
LeisingaquaNapA,Mo
LeptoboryanaNasC,Mo
LeptothricholoNapA,Mo
LeucomucorFdhNAD,Mo
LevilinsaccharoFdhNAD,Mo
LewinelcohaeFdhNAD,Mo
LitoriaeroNapA,Mo
LitorilisedimiNapA,Mo
LitoritaeaneNasA,Mo
LonepinekoalaFdhN,Mo
LutiagarPsrA,Mo
LutiflavPsrA,Mo
LutimaribaclitoraNasA,Mo
LutimaritiPsrA,Mo
LutioceanFdhNAD,Mo
LutioceanPsrA,Mo
LutiprofundiFdhNAD,Mo
LutiprofundiNapA,Mo
LyngbyaaestuarNasC,Mo
MagnetospircaucaNapA,Mo
Magnetospirmagnet1NapA,Mo
MagnetospirmagnetArrA,Mo
MagnetospirmarisNapA,Mo
Mamelielalba1NasA,Mo
MamelielalbaFdhNAD,Mo
MangrovimarinPsrA,Mo
MannehaemoTtrA,Mo
MannemassilioFdhH,Mo
MannemassilioFdhNAD,Mo
MannevariTtrA,Mo
MarinibreveNapA,Mo
MariniflexuNapA,Mo
MarinifragPsrA,Mo
MarinithermhydroNapA,Mo
MarinobacaestNasA,Mo
MarinobacaromTtrA,Mo
MarinobacdaepTtrA,Mo
MarinobacjannaschFdhNAD,Mo
MarinobacrhizoNasA,Mo
MarinobacsantoriAioA,Mo
MarinocochalophilNasC,Mo
MarinospalkaliArrA,Mo
MarinospcelereArrA,Mo
MarinospinsulTtrA,Mo
MarinospminuTtrA,Mo
MarinovumalgiNasA,Mo
MaripolyPsrA,Mo
MaritimialkaliNasA,Mo
MarivitageojeNasA,Mo
MassilialuteaNasA,Mo
MassilianamucuoFdhNAD,Mo
MassiliatimonaeFdhNAD,Mo
MassiliaumbonNasA,Mo
MassilmassPsrA,Mo
MastigorepensNasC,Mo
MeiocerbAioA,Mo
MeiocerbPsrA,Mo
MeiochliaroFdhNAD,Mo
MeiotimidusAioA,Mo
MeliorirosePsrA,Mo
MelioriroseTtrA,Mo
MerismoglaucaNasC,Mo
MesocricetiintestiFdhH,Mo
MesorhizoalhagiAioA,Mo
MesorhizometaliAioA,Mo
MesorhizosoliAioA,Mo
MesorhizsophoNapA,Mo
MetallosphyelloTtrA,W
MethanobaccongolFdhF420,Mo
Methanobacformici1FdhF420,Mo
